地区,年份,标准煤,能源
北京,2015,321.435,原煤
北京,2016,227.1474,原煤
北京,2017,182.1465,原煤
北京,2018,125.7168,原煤
北京,2019,25.7148,原煤
北京,2020,0,原煤
北京,2021,0,原煤
天津,2015,0,原煤
天津,2016,0,原煤
天津,2017,0,原煤
天津,2018,0,原煤
天津,2019,0,原煤
天津,2020,0,原煤
天津,2021,0,原煤
河北,2015,5312.2491,原煤
河北,2016,4631.5212,原煤
河北,2017,4300.086,原煤
河北,2018,3970.7937,原煤
河北,2019,3625.0725,原煤
河北,2020,3553.6425,原煤
河北,2021,3316.4949,原煤
山西,2015,69058.524,原煤
山西,2016,59318.3292,原煤
山西,2017,62301.9603,原煤
山西,2018,66199.1811,原煤
山西,2019,70569.2685,原煤
山西,2020,77077.2558,原煤
山西,2021,85963.1478,原煤
内蒙古,2015,64970.5851,原煤
内蒙古,2016,60400.4937,原煤
内蒙古,2017,64713.4371,原煤
内蒙古,2018,70788.5586,原煤
内蒙古,2019,77907.2724,原煤
内蒙古,2020,73252.1793,原煤
内蒙古,2021,76422.957,原煤
辽宁,2015,3394.3536,原煤
辽宁,2016,2978.631,原煤
辽宁,2017,2592.909,原煤
辽宁,2018,2430.7629,原煤
辽宁,2019,2351.4756,原煤
辽宁,2020,2235.0447,原煤
辽宁,2021,2205.7584,原煤
吉林,2015,1881.4662,原煤
吉林,2016,1202.8812,原煤
吉林,2017,1170.7377,原煤
吉林,2018,1157.166,原煤
吉林,2019,897.1608,原煤
吉林,2020,742.872,原煤
吉林,2021,646.4415,原煤
黑龙江,2015,4679.3793,原煤
黑龙江,2016,4207.227,原煤
黑龙江,2017,4425.8028,原煤
黑龙江,2018,4380.8019,原煤
黑龙江,2019,3850.7913,原煤
黑龙江,2020,3970.0794,原煤
黑龙江,2021,4297.2288,原煤
上海,2015,0,原煤
上海,2016,0,原煤
上海,2017,0,原煤
上海,2018,0,原煤
上海,2019,0,原煤
上海,2020,0,原煤
上海,2021,0,原煤
江苏,2015,1370.7417,原煤
江苏,2016,977.1624,原煤
江苏,2017,912.8754,原煤
江苏,2018,890.0178,原煤
江苏,2019,787.8729,原煤
江苏,2020,730.0146,原煤
江苏,2021,667.1562,原煤
浙江,2015,0,原煤
浙江,2016,0,原煤
浙江,2017,0,原煤
浙江,2018,0,原煤
浙江,2019,0,原煤
浙江,2020,0,原煤
浙江,2021,0,原煤
安徽,2015,9574.4772,原煤
安徽,2016,8740.1748,原煤
安徽,2017,8374.4532,原煤
安徽,2018,8151.5916,原煤
安徽,2019,7849.4427,原煤
安徽,2020,7917.3012,原煤
安徽,2021,8053.0182,原煤
福建,2015,1136.4513,原煤
福建,2016,988.5912,原煤
福建,2017,807.159,原煤
福建,2018,672.1563,原煤
福建,2019,604.2978,原煤
福建,2020,470.7237,原煤
福建,2021,391.4364,原煤
江西,2015,1622.1753,原煤
江西,2016,1112.1651,原煤
江西,2017,670.7277,原煤
江西,2018,393.5793,原煤
江西,2019,360.0072,原煤
江西,2020,224.2902,原煤
江西,2021,169.2891,原煤
山东,2015,10157.346,原煤
山东,2016,9155.8974,原煤
山东,2017,9400.188,原煤
山东,2018,8968.7508,原煤
山东,2019,8513.0274,原煤
山东,2020,7818.0135,原煤
山东,2021,6651.5616,原煤
河南,2015,9711.6228,原煤
河南,2016,8533.7421,原煤
河南,2017,8393.7393,原煤
河南,2018,8190.8781,原煤
河南,2019,7813.0134,原煤
河南,2020,7605.1521,原煤
河南,2021,6694.4196,原煤
湖北,2015,614.298,原煤
湖北,2016,424.2942,原煤
湖北,2017,225.7188,原煤
湖北,2018,85.0017,原煤
湖北,2019,29.2863,原煤
湖北,2020,28.572,原煤
湖北,2021,21.429,原煤
湖南,2015,2542.1937,原煤
湖南,2016,1990.7541,原煤
湖南,2017,1384.3134,原煤
湖南,2018,1357.17,原煤
湖南,2019,1052.1639,原煤
湖南,2020,762.8724,原煤
湖南,2021,519.2961,原煤
广东,2015,0,原煤
广东,2016,0,原煤
广东,2017,0,原煤
广东,2018,0,原煤
广东,2019,0,原煤
广东,2020,0,原煤
广东,2021,0,原煤
广西,2015,303.5775,原煤
广西,2016,309.2919,原煤
广西,2017,316.4349,原煤
广西,2018,348.5784,原煤
广西,2019,290.0058,原煤
广西,2020,295.7202,原煤
广西,2021,251.4336,原煤
海南,2015,0,原煤
海南,2016,0,原煤
海南,2017,0,原煤
海南,2018,0,原煤
海南,2019,0,原煤
海南,2020,0,原煤
海南,2021,0,原煤
重庆,2015,2544.3366,原煤
重庆,2016,1740.7491,原煤
重庆,2017,852.8742,原煤
重庆,2018,840.7311,原煤
重庆,2019,836.4453,原煤
重庆,2020,670.7277,原煤
重庆,2021,0,原煤
四川,2015,4575.8058,原煤
四川,2016,4403.6595,原煤
四川,2017,3427.9257,原煤
四川,2018,2668.6248,原煤
四川,2019,2426.4771,原煤
四川,2020,1600.032,原煤
四川,2021,1395.0279,原煤
贵州,2015,12289.5315,原煤
贵州,2016,12036.6693,原煤
贵州,2017,11674.5192,原煤
贵州,2018,10239.4905,原煤
贵州,2019,9405.9024,原煤
贵州,2020,8610.8865,原煤
贵州,2021,9451.6176,原煤
云南,2015,3702.9312,原煤
云南,2016,3276.4941,原煤
云南,2017,3339.3525,原煤
云南,2018,3266.4939,原煤
云南,2019,3945.0789,原煤
云南,2020,3950.079,原煤
云南,2021,4356.5157,原煤
西藏,2015,0,原煤
西藏,2016,0,原煤
西藏,2017,0,原煤
西藏,2018,0,原煤
西藏,2019,0,原煤
西藏,2020,0,原煤
西藏,2021,0,原煤
陕西,2015,37555.0368,原煤
陕西,2016,36833.5938,原煤
陕西,2017,40787.9586,原煤
陕西,2018,44970.8994,原煤
陕西,2019,45450.909,原煤
陕西,2020,48553.1139,原煤
陕西,2021,50138.1456,原煤
甘肃,2015,3142.92,原煤
甘肃,2016,3038.6322,原煤
甘肃,2017,2670.0534,原煤
甘肃,2018,2592.909,原煤
甘肃,2019,2632.1955,原煤
甘肃,2020,2756.4837,原煤
甘肃,2021,3147.9201,原煤
青海,2015,582.8688,原煤
青海,2016,562.1541,原煤
青海,2017,601.4406,原煤
青海,2018,586.4403,原煤
青海,2019,918.5898,原煤
青海,2020,780.0156,原煤
青海,2021,792.1587,原煤
宁夏,2015,5697.2568,原煤
宁夏,2016,5049.3867,原煤
宁夏,2017,5460.1092,原煤
宁夏,2018,5600.112,原煤
宁夏,2019,5340.8211,原煤
宁夏,2020,5822.9736,原煤
宁夏,2021,6192.981,原煤
新疆,2015,10872.3603,原煤
新疆,2016,11480.9439,原煤
新疆,2017,12701.6826,原煤
新疆,2018,15251.7336,原煤
新疆,2019,17261.0595,原煤
新疆,2020,19261.8138,原煤
新疆,2021,22963.3164,原煤
北京,2015,0,原油
北京,2016,0,原油
北京,2017,0,原油
北京,2018,0,原油
北京,2019,0,原油
北京,2020,0,原油
北京,2021,0,原油
天津,2015,4995.52848,原油
天津,2016,4676.23638,原油
天津,2017,4432.08864,原油
天津,2018,4407.9453,原油
天津,2019,4445.66034,原油
天津,2020,4631.80692,原油
天津,2021,4867.2402,原油
河北,2015,828.73086,原油
河北,2016,780.0156,原油
河北,2017,770.15826,原油
河北,2018,767.44392,原油
河北,2019,785.73,原油
河北,2020,776.4441,原油
河北,2021,778.01556,原油
山西,2015,0,原油
山西,2016,0,原油
山西,2017,0,原油
山西,2018,0,原油
山西,2019,0,原油
山西,2020,0,原油
山西,2021,0,原油
内蒙古,2015,65.42988,原油
内蒙古,2016,64.14414,原油
内蒙古,2017,17.42892,原油
内蒙古,2018,17.1432,原油
内蒙古,2019,21.28614,原油
内蒙古,2020,19.42896,原油
内蒙古,2021,60.14406,原油
辽宁,2015,1481.60106,原油
辽宁,2016,1453.31478,原油
辽宁,2017,1491.74412,原油
辽宁,2018,1486.74402,原油
辽宁,2019,1504.74438,原油
辽宁,2020,1499.17284,原油
辽宁,2021,1506.03012,原油
吉林,2015,950.7333,原油
吉林,2016,872.44602,原油
吉林,2017,601.29774,原油
吉林,2018,553.43964,原油
吉林,2019,574.15434,原油
吉林,2020,577.72584,原油
吉林,2021,591.72612,原油
黑龙江,2015,5483.82396,原油
黑龙江,2016,5222.9616,原油
黑龙江,2017,4886.24058,原油
黑龙江,2018,4606.09212,原油
黑龙江,2019,4414.374,原油
黑龙江,2020,4287.2286,原油
黑龙江,2021,4207.9413,原油
上海,2015,9.71448,原油
上海,2016,9.2859,原油
上海,2017,9.71448,原油
上海,2018,9.2859,原油
上海,2019,55.85826,原油
上海,2020,74.2872,原油
上海,2021,72.71574,原油
江苏,2015,272.1483,原油
江苏,2016,237.1476,原油
江苏,2017,223.00446,原油
江苏,2018,222.00444,原油
江苏,2019,219.2901,原油
江苏,2020,217.29006,原油
江苏,2021,216.14718,原油
浙江,2015,0,原油
浙江,2016,0,原油
浙江,2017,0,原油
浙江,2018,0,原油
浙江,2019,0,原油
浙江,2020,0,原油
浙江,2021,0,原油
安徽,2015,0,原油
安徽,2016,0,原油
安徽,2017,0,原油
安徽,2018,0,原油
安徽,2019,0,原油
安徽,2020,0,原油
安徽,2021,0,原油
福建,2015,0,原油
福建,2016,0,原油
福建,2017,0,原油
福建,2018,0,原油
福建,2019,0,原油
福建,2020,0,原油
福建,2021,0,原油
江西,2015,0,原油
江西,2016,0,原油
江西,2017,0,原油
江西,2018,0,原油
江西,2019,0,原油
江西,2020,0,原油
江西,2021,0,原油
山东,2015,3725.7888,原油
山东,2016,3279.06558,原油
山东,2017,3192.77814,原油
山东,2018,3203.06406,原油
山东,2019,3180.0636,原油
山东,2020,3170.34912,原油
山东,2021,3158.20602,原油
河南,2015,588.72606,原油
河南,2016,451.00902,原油
河南,2017,404.15094,原油
河南,2018,369.72168,原油
河南,2019,358.72146,原油
河南,2020,342.72114,原油
河南,2021,335.29242,原油
湖北,2015,101.4306,原油
湖北,2016,83.00166,原油
湖北,2017,79.2873,原油
湖北,2018,77.57298,原油
湖北,2019,76.57296,原油
湖北,2020,76.4301,原油
湖北,2021,76.00152,原油
湖南,2015,0,原油
湖南,2016,0,原油
湖南,2017,0,原油
湖南,2018,0,原油
湖南,2019,0,原油
湖南,2020,0,原油
湖南,2021,0,原油
广东,2015,2246.61636,原油
广东,2016,2223.33018,原油
广东,2017,2050.32672,原油
广东,2018,1990.7541,原油
广东,2019,2153.6145,原油
广东,2020,2304.47466,原油
广东,2021,2492.47842,原油
广西,2015,72.1443,原油
广西,2016,67.71564,原油
广西,2017,63.00126,原油
广西,2018,74.14434,原油
广西,2019,71.85858,原油
广西,2020,69.71568,原油
广西,2021,66.85848,原油
海南,2015,42.858,原油
海南,2016,42.00084,原油
海南,2017,42.858,原油
海南,2018,43.42944,原油
海南,2019,43.5723,原油
海南,2020,43.71516,原油
海南,2021,53.28678,原油
重庆,2015,0,原油
重庆,2016,0,原油
重庆,2017,0,原油
重庆,2018,0,原油
重庆,2019,0,原油
重庆,2020,0,原油
重庆,2021,0,原油
四川,2015,22.00044,原油
四川,2016,15.42888,原油
四川,2017,12.42882,原油
四川,2018,11.57166,原油
四川,2019,12.00024,原油
四川,2020,11.28594,原油
四川,2021,13.14312,原油
贵州,2015,0,原油
贵州,2016,0,原油
贵州,2017,0,原油
贵州,2018,0,原油
贵州,2019,0,原油
贵州,2020,0,原油
贵州,2021,0,原油
云南,2015,0,原油
云南,2016,0,原油
云南,2017,0,原油
云南,2018,0,原油
云南,2019,0,原油
云南,2020,0,原油
云南,2021,0,原油
西藏,2015,0,原油
西藏,2016,0,原油
西藏,2017,0,原油
西藏,2018,0,原油
西藏,2019,0,原油
西藏,2020,0,原油
西藏,2021,0,原油
陕西,2015,5338.24962,原油
陕西,2016,5003.52864,原油
陕西,2017,4985.52828,原油
陕西,2018,5031.5292,原油
陕西,2019,3857.36286,原油
陕西,2020,3848.21982,原油
陕西,2021,3646.93008,原油
甘肃,2015,95.14476,原油
甘肃,2016,57.71544,原油
甘肃,2017,67.1442,原油
甘肃,2018,74.00148,原油
甘肃,2019,1290.7401,原油
甘肃,2020,1383.88482,原油
甘肃,2021,1470.17226,原油
青海,2015,318.5778,原油
青海,2016,315.7206,原油
青海,2017,325.7208,原油
青海,2018,319.00638,原油
青海,2019,325.7208,原油
青海,2020,326.4351,原油
青海,2021,334.2924,原油
宁夏,2015,19.14324,原油
宁夏,2016,8.85732,原油
宁夏,2017,1.00002,原油
宁夏,2018,0,原油
宁夏,2019,0,原油
宁夏,2020,0,原油
宁夏,2021,193.28958,原油
新疆,2015,3993.07986,原油
新疆,2016,3664.21614,原油
新疆,2017,3702.64548,原油
新疆,2018,3782.07564,原油
新疆,2019,3984.93684,原油
新疆,2020,4164.08328,原油
新疆,2021,4272.08544,原油
北京,2015,224.504,天然气
北京,2016,288.344,天然气
北京,2017,204.953,天然气
北京,2018,229.824,天然气
北京,2019,193.515,天然气
北京,2020,265.734,天然气
北京,2021,56.924,天然气
天津,2015,273.182,天然气
天津,2016,261.877,天然气
天津,2017,285.95,天然气
天津,2018,451.402,天然气
天津,2019,464.17,天然气
天津,2020,482.923,天然气
天津,2021,518.966,天然气
河北,2015,138.719,天然气
河北,2016,103.474,天然气
河北,2017,98.287,天然气
河北,2018,81.795,天然气
河北,2019,77.672,天然气
河北,2020,74.613,天然气
河北,2021,70.224,天然气
山西,2015,572.964,天然气
山西,2016,574.826,天然气
山西,2017,621.908,天然气
山西,2018,705.698,天然气
山西,2019,1097.915,天然气
山西,2020,1142.869,天然气
山西,2021,1640.555,天然气
内蒙古,2015,122.892,天然气
内蒙古,2016,3.591,天然气
内蒙古,2017,2.527,天然气
内蒙古,2018,213.731,天然气
内蒙古,2019,293.531,天然气
内蒙古,2020,339.815,天然气
内蒙古,2021,3853.675,天然气
辽宁,2015,87.647,天然气
辽宁,2016,73.416,天然气
辽宁,2017,67.963,天然气
辽宁,2018,78.071,天然气
辽宁,2019,82.194,天然气
辽宁,2020,98.021,天然气
辽宁,2021,105.203,天然气
吉林,2015,270.123,天然气
吉林,2016,262.941,天然气
吉林,2017,247.114,天然气
吉林,2018,244.055,天然气
吉林,2019,263.606,天然气
吉林,2020,263.473,天然气
吉林,2021,284.354,天然气
黑龙江,2015,476.406,天然气
黑龙江,2016,505.932,天然气
黑龙江,2017,539.182,天然气
黑龙江,2018,579.082,天然气
黑龙江,2019,607.278,天然气
黑龙江,2020,622.174,天然气
黑龙江,2021,671.65,天然气
上海,2015,25.004,天然气
上海,2016,26.866,天然气
上海,2017,22.743,天然气
上海,2018,193.382,天然气
上海,2019,165.851,天然气
上海,2020,200.963,天然气
上海,2021,229.292,天然气
江苏,2015,4.921,天然气
江苏,2016,17.689,天然气
江苏,2017,39.102,天然气
江苏,2018,132.601,天然气
江苏,2019,54.397,天然气
江苏,2020,56.392,天然气
江苏,2021,12.502,天然气
浙江,2015,0,天然气
浙江,2016,0,天然气
浙江,2017,81.662,天然气
浙江,2018,0,天然气
浙江,2019,0,天然气
浙江,2020,0,天然气
浙江,2021,0,天然气
安徽,2015,0,天然气
安徽,2016,44.954,天然气
安徽,2017,34.58,天然气
安徽,2018,29.925,天然气
安徽,2019,28.196,天然气
安徽,2020,29.792,天然气
安徽,2021,30.856,天然气
福建,2015,0,天然气
福建,2016,0,天然气
福建,2017,0,天然气
福建,2018,0,天然气
福建,2019,0,天然气
福建,2020,0,天然气
福建,2021,0,天然气
江西,2015,4.655,天然气
江西,2016,3.059,天然气
江西,2017,2.793,天然气
江西,2018,2.261,天然气
江西,2019,0.399,天然气
江西,2020,0,天然气
江西,2021,0,天然气
山东,2015,60.781,天然气
山东,2016,56.126,天然气
山东,2017,55.195,天然气
山东,2018,63.84,天然气
山东,2019,66.234,天然气
山东,2020,76.741,天然气
山东,2021,82.726,天然气
河南,2015,55.727,天然气
河南,2016,43.89,天然气
河南,2017,39.634,天然气
河南,2018,38.57,天然气
河南,2019,39.368,天然气
河南,2020,38.57,天然气
河南,2021,38.969,天然气
湖北,2015,17.955,天然气
湖北,2016,17.423,天然气
湖北,2017,16.891,天然气
湖北,2018,68.229,天然气
湖北,2019,14.231,天然气
湖北,2020,13.433,天然气
湖北,2021,17.157,天然气
湖南,2015,0,天然气
湖南,2016,0,天然气
湖南,2017,0,天然气
湖南,2018,0,天然气
湖南,2019,0,天然气
湖南,2020,0.399,天然气
湖南,2021,0.399,天然气
广东,2015,1284.381,天然气
广东,2016,1054.025,天然气
广东,2017,1186.759,天然气
广东,2018,1363.25,天然气
广东,2019,1490.664,天然气
广东,2020,1750.147,天然气
广东,2021,1761.984,天然气
广西,2015,2.128,天然气
广西,2016,2.66,天然气
广西,2017,2.793,天然气
广西,2018,2.527,天然气
广西,2019,3.059,天然气
广西,2020,2.926,天然气
广西,2021,2.926,天然气
海南,2015,25.004,天然气
海南,2016,18.221,天然气
海南,2017,14.63,天然气
海南,2018,14.098,天然气
海南,2019,13.699,天然气
海南,2020,13.832,天然气
海南,2021,106.799,天然气
重庆,2015,443.156,天然气
重庆,2016,688.275,天然气
重庆,2017,807.31,天然气
重庆,2018,813.561,天然气
重庆,2019,967.442,天然气
重庆,2020,1063.468,天然气
重庆,2021,1158.563,天然气
四川,2015,3554.026,天然气
四川,2016,3948.903,天然气
四川,2017,4739.987,天然气
四川,2018,4919.138,天然气
四川,2019,5544.504,天然气
四川,2020,6162.422,天然气
四川,2021,6945.393,天然气
贵州,2015,12.369,天然气
贵州,2016,45.353,天然气
贵州,2017,55.195,天然气
贵州,2018,39.501,天然气
贵州,2019,41.895,天然气
贵州,2020,67.032,天然气
贵州,2021,69.426,天然气
云南,2015,0,天然气
云南,2016,0.266,天然气
云南,2017,0.532,天然气
云南,2018,0,天然气
云南,2019,0,天然气
云南,2020,0,天然气
云南,2021,0,天然气
西藏,2015,0,天然气
西藏,2016,0,天然气
西藏,2017,0,天然气
西藏,2018,0,天然气
西藏,2019,0,天然气
西藏,2020,0,天然气
西藏,2021,0,天然气
陕西,2015,5531.736,天然气
陕西,2016,5478.403,天然气
陕西,2017,5578.02,天然气
陕西,2018,5890.437,天然气
陕西,2019,6404.615,天然气
陕西,2020,7014.154,天然气
陕西,2021,3911.929,天然气
甘肃,2015,1.064,天然气
甘肃,2016,0.798,天然气
甘肃,2017,7.98,天然气
甘肃,2018,13.699,天然气
甘肃,2019,21.014,天然气
甘肃,2020,51.87,天然气
甘肃,2021,55.594,天然气
青海,2015,816.221,天然气
青海,2016,808.773,天然气
青海,2017,851.333,天然气
青海,2018,851.865,天然气
青海,2019,851.2,天然气
青海,2020,851.333,天然气
青海,2021,824.6,天然气
宁夏,2015,0,天然气
宁夏,2016,0,天然气
宁夏,2017,0,天然气
宁夏,2018,0,天然气
宁夏,2019,0,天然气
宁夏,2020,0,天然气
宁夏,2021,2.793,天然气
新疆,2015,3897.166,天然气
新疆,2016,3873.093,天然气
新疆,2017,4083.632,天然气
新疆,2018,4280.472,天然气
新疆,2019,4536.364,天然气
新疆,2020,4918.739,天然气
新疆,2021,5154.947,天然气
北京,2015,517.409,电力
北京,2016,533.386,电力
北京,2017,487.913,电力
北京,2018,554.279,电力
北京,2019,570.256,电力
北京,2020,561.653,电力
北京,2021,581.317,电力
天津,2015,765.667,电力
天津,2016,759.522,电力
天津,2017,784.102,电力
天津,2018,891.025,电力
天津,2019,900.857,电力
天津,2020,948.788,电力
天津,2021,983.2,电力
河北,2015,3070.042,电力
河北,2016,3233.499,电力
河北,2017,3666.107,电力
河北,2018,3968.441,电力
河北,2019,4053.242,电力
河北,2020,4209.325,电力
河北,2021,4317.477,电力
山西,2015,3009.821,电力
山西,2016,3115.515,电力
山西,2017,3516.169,电力
山西,2018,3936.487,电力
山西,2019,4131.898,电力
山西,2020,4306.416,电力
山西,2021,4825.054,电力
内蒙古,2015,4828.741,电力
内蒙古,2016,4854.55,电力
内蒙古,2017,5423.577,电力
内蒙古,2018,6097.069,电力
内蒙古,2019,6753.355,电力
内蒙古,2020,7141.719,电力
内蒙古,2021,7521.48,电力
辽宁,2015,2046.285,电力
辽宁,2016,2186.391,电力
辽宁,2017,2266.276,电力
辽宁,2018,2440.794,电力
辽宁,2019,2547.717,电力
辽宁,2020,2623.915,电力
辽宁,2021,2775.082,电力
吉林,2015,898.399,电力
吉林,2016,934.04,电力
吉林,2017,934.04,电力
吉林,2018,1068.001,电力
吉林,2019,1162.634,电力
吉林,2020,1252.351,电力
吉林,2021,1260.954,电力
黑龙江,2015,1074.146,电力
黑龙江,2016,1106.1,电力
黑龙江,2017,1172.466,电力
黑龙江,2018,1286.763,电力
黑龙江,2019,1366.648,电力
黑龙江,2020,1398.602,电力
黑龙江,2021,1476.029,电力
上海,2015,974.597,电力
上海,2016,991.803,电力
上海,2017,1047.108,电力
上海,2018,1042.192,电力
上海,2019,1010.238,电力
上海,2020,1059.398,电力
上海,2021,1232.687,电力
江苏,2015,5359.669,电力
江苏,2016,5787.361,电力
江苏,2017,6051.596,电力
江苏,2018,6324.434,电力
江苏,2019,6349.014,电力
江苏,2020,6412.922,电力
江苏,2021,7335.901,电力
浙江,2015,3700.519,电力
浙江,2016,3930.342,电力
浙江,2017,4099.944,电力
浙江,2018,4292.897,电力
浙江,2019,4348.202,电力
浙江,2020,4339.599,电力
浙江,2021,5188.838,电力
安徽,2015,2534.198,电力
安徽,2016,2768.937,电力
安徽,2017,3045.462,电力
安徽,2018,3368.689,电力
安徽,2019,3548.123,电力
安徽,2020,3452.261,电力
安徽,2021,3789.007,电力
福建,2015,2336.329,电力
福建,2016,2466.603,电力
福建,2017,2735.754,电力
福建,2018,3046.691,电力
福建,2019,3168.362,电力
福建,2020,3258.079,电力
福建,2021,3626.779,电力
江西,2015,1206.878,电力
江西,2016,1333.465,电力
江西,2017,1425.64,电力
江西,2018,1580.494,电力
江西,2019,1691.104,电力
江西,2020,1775.905,电力
江西,2021,1920.927,电力
山东,2015,5757.865,电力
山东,2016,6549.341,电力
山东,2017,7097.475,电力
山东,2018,7275.68,电力
山东,2019,7247.413,电力
山东,2020,7135.574,电力
山东,2021,7632.09,电力
河南,2015,3226.125,电力
河南,2016,3260.537,电力
河南,2017,3376.063,电力
河南,2018,3760.74,电力
河南,2019,3549.352,电力
河南,2020,3571.474,电力
河南,2021,3734.931,电力
湖北,2015,2877.089,电力
湖北,2016,3046.691,电力
湖北,2017,3233.499,电力
湖北,2018,3462.093,电力
湖北,2019,3635.382,电力
湖北,2020,3706.664,电力
湖北,2021,4045.868,电力
湖南,2015,1614.906,电力
湖南,2016,1702.165,电力
湖南,2017,1767.302,电力
湖南,2018,1892.66,电力
湖南,2019,1916.011,电力
湖南,2020,1909.866,电力
湖南,2021,2140.918,电力
广东,2015,4959.015,电力
广东,2016,5124.93,电力
广东,2017,5551.393,电力
广东,2018,5795.964,电力
广东,2019,6207.679,电力
广东,2020,6422.754,电力
广东,2021,7750.074,电力
广西,2015,1597.7,电力
广西,2016,1655.463,电力
广西,2017,1804.172,电力
广西,2018,2128.628,电力
广西,2019,2268.734,电力
广西,2020,2422.359,电力
广西,2021,2558.778,电力
海南,2015,320.769,电力
海南,2016,353.952,电力
海南,2017,374.845,电力
海南,2018,399.425,电力
海南,2019,425.234,电力
海南,2020,425.234,电力
海南,2021,480.539,电力
重庆,2015,835.72,电力
重庆,2016,861.529,电力
重庆,2017,907.002,电力
重庆,2018,997.948,电力
重庆,2019,997.948,电力
重庆,2020,1033.589,电力
重庆,2021,1217.939,电力
四川,2015,3846.77,电力
四川,2016,4023.746,电力
四川,2017,4242.508,电力
四川,2018,4538.697,电力
四川,2019,4822.596,电力
四川,2020,5139.678,电力
四川,2021,5567.37,电力
贵州,2015,2230.635,电力
贵州,2016,2340.016,电力
贵州,2017,2374.428,电力
贵州,2018,2483.809,电力
贵州,2019,2712.403,电力
贵州,2020,2832.845,电力
贵州,2021,2910.272,电力
云南,2015,3137.637,电力
云南,2016,3309.697,电力
云南,2017,3625.55,电力
云南,2018,3984.418,电力
云南,2019,4259.714,电力
云南,2020,4515.346,电力
云南,2021,4633.33,电力
西藏,2015,55.305,电力
西藏,2016,66.366,电力
西藏,2017,72.511,电力
西藏,2018,84.801,电力
西藏,2019,105.694,电力
西藏,2020,109.381,电力
西藏,2021,138.877,电力
陕西,2015,1994.667,电力
陕西,2016,2159.353,电力
陕西,2017,2268.734,电力
陕西,2018,2359.68,电力
陕西,2019,2695.197,电力
陕西,2020,2923.791,电力
陕西,2021,3367.46,电力
甘肃,2015,1526.418,电力
甘肃,2016,1492.006,电力
甘肃,2017,1601.387,电力
甘肃,2018,1892.66,电力
甘肃,2019,2004.499,电力
甘肃,2020,2165.498,电力
甘肃,2021,2331.413,电力
青海,2015,695.614,电力
青海,2016,679.637,电力
青海,2017,755.835,电力
青海,2018,996.719,电力
青海,2019,1088.894,电力
青海,2020,1170.008,电力
青海,2021,1224.084,电力
宁夏,2015,1419.495,电力
宁夏,2016,1405.976,电力
宁夏,2017,1727.974,电力
宁夏,2018,2054.888,电力
宁夏,2019,2170.414,电力
宁夏,2020,2312.978,电力
宁夏,2021,2560.007,电力
新疆,2015,3046.691,电力
新疆,2016,3341.651,电力
新疆,2017,3732.473,电力
新疆,2018,4063.074,电力
新疆,2019,4510.43,电力
新疆,2020,5065.938,电力
新疆,2021,5756.636,电力
